,target
813,0
814,0
815,1
816,0
817,0
818,0
819,0
820,0
821,1
822,0
823,0
824,0
825,1
826,0
827,1
828,0
829,1
830,1
831,0
832,0
833,0
834,1
835,1
836,1
837,0
838,1
839,1
840,1
841,0
842,0
843,0
844,1
845,0
846,1
847,0
848,1
849,1
850,1
851,1
852,0
853,0
854,1
855,1
856,1
857,1
858,0
859,1
860,0
861,1
862,1
863,1
864,1
865,0
866,0
867,1
868,1
869,1
870,0
871,1
872,1
873,0
874,1
875,0
876,0
877,0
878,0
879,0
880,0
881,1
882,1
883,0
884,1
885,1
886,0
887,1
888,1
889,0
890,1
891,0
892,1
893,1
894,0
895,0
896,0
897,0
898,1
899,0
900,0
901,1
902,1
903,1
904,0
905,0
906,0
907,0
908,1
909,0
910,1
911,0
912,0
913,1
914,0
915,0
916,0
917,1
918,0
919,0
920,1
921,1
922,1
923,0
924,1
925,0
926,0
927,1
928,0
929,0
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,0
940,0
941,0
942,0
943,1
944,1
945,1
946,0
947,0
948,0
949,1
950,1
951,1
952,0
953,0
954,0
955,0
956,1
957,0
958,1
959,0
960,0
961,1
962,0
963,0
964,0
965,1
966,1
967,1
968,0
969,0
970,0
971,0
972,1
973,0
974,0
975,1
976,1
977,1
978,0
979,1
980,0
981,1
982,0
983,1
984,1
985,0
986,1
987,0
988,1
989,1
990,0
991,1
992,1
993,1
994,0
995,0
996,1
997,0
998,1
999,0
1000,1
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,1
1011,0
1012,1
1013,0
1014,1
1015,1
1016,0
1017,0
1018,0
1019,1
1020,1
1021,0
1022,0
1023,1
1024,0
1025,1
1026,0
1027,0
1028,0
1029,1
1030,1
1031,1
1032,0
1033,1
1034,1
1035,0
1036,0
1037,1
1038,0
1039,0
1040,1
1041,1
1042,1
1043,1
1044,0
1045,1
1046,0
1047,0
1048,1
1049,0
1050,0
1051,1
1052,1
1053,1
1054,0
1055,1
1056,0
1057,0
1058,0
1059,0
1060,1
1061,1
1062,0
1063,0
1064,0
1065,1
1066,1
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,1
1078,0
1079,1
1080,0
1081,1
1082,0
1083,1
1084,1
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,1
1092,0
1093,1
1094,1
1095,1
1096,1
1097,0
1098,0
1099,1
1100,0
1101,1
1102,1
1103,1
1104,0
1105,1
1106,0
1107,1
1108,0
1109,0
1110,1
1111,0
1112,1
1113,1
1114,0
1115,0
1116,1
1117,0
1118,1
1119,1
1120,0
1121,1
1122,0
1123,0
1124,1
1125,0
1126,1
1127,0
1128,0
1129,0
1130,1
1131,0
1132,1
1133,0
1134,0
1135,0
1136,1
1137,0
1138,0
1139,1
1140,0
1141,1
1142,1
1143,0
1144,1
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,1
1155,0
1156,1
1157,1
1158,1
1159,0
1160,0
1161,1
1162,0
1163,0
1164,1
1165,0
1166,0
1167,1
1168,0
1169,0
1170,0
1171,1
1172,1
1173,0
1174,0
1175,1
1176,0
1177,1
1178,0
1179,1
1180,1
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,1
1192,0
1193,1
1194,0
1195,0
1196,1
1197,1
1198,0
1199,0
1200,0
1201,1
1202,0
1203,1
1204,1
1205,1
1206,1
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,1
1214,1
1215,1
1216,0
1217,1
1218,0
1219,0
1220,0
1221,1
1222,0
1223,1
1224,1
1225,1
1226,1
1227,0
1228,1
1229,1
1230,0
1231,1
1232,1
1233,1
1234,0
1235,0
1236,0
1237,1
1238,1
1239,0
1240,0
1241,0
1242,1
1243,1
1244,0
1245,0
1246,0
1247,0
1248,1
1249,1
1250,1
1251,0
1252,0
1253,1
1254,0
1255,0
1256,0
1257,0
1258,0
1259,1
1260,0
1261,0
1262,0
1263,1
1264,1
1265,1
1266,0
1267,0
1268,1
1269,1
1270,0
1271,0
1272,1
1273,1
1274,1
1275,1
1276,1
1277,0
1278,0
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,0
1286,1
1287,0
1288,0
1289,0
1290,0
1291,0
1292,1
1293,0
1294,1
1295,0
1296,1
1297,1
1298,0
1299,0
1300,0
1301,0
1302,1
1303,1
1304,1
1305,0
1306,1
1307,0
1308,1
1309,0
1310,0
1311,0
1312,1
1313,1
1314,1
1315,1
1316,1
1317,0
1318,0
1319,0
1320,1
1321,1
1322,0
1323,1
1324,1
1325,0
1326,0
1327,0
1328,0
1329,0
1330,1
1331,1
1332,0
1333,0
1334,1
1335,1
1336,1
1337,0
1338,0
1339,0
1340,1
1341,0
1342,1
1343,0
1344,0
1345,0
1346,0
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,0
1355,0
1356,0
1357,1
1358,1
1359,0
1360,1
1361,1
1362,0
1363,0
1364,0
1365,1
1366,0
1367,0
1368,1
1369,1
1370,1
1371,1
1372,1
1373,0
1374,1
1375,1
1376,0
1377,0
1378,0
1379,1
1380,0
1381,1
1382,1
1383,1
1384,1
1385,0
1386,1
1387,1
1388,1
1389,1
1390,1
1391,0
1392,1
1393,0
1394,1
1395,0
1396,0
1397,0
1398,1
1399,1
1400,0
1401,1
1402,0
1403,0
1404,1
1405,1
1406,0
1407,1
1408,0
1409,0
1410,1
1411,1
1412,1
1413,0
1414,0
1415,0
1416,0
1417,1
1418,0
1419,1
1420,0
1421,1
1422,0
1423,0
1424,0
1425,0
1426,0
1427,1
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,1
1435,1
1436,0
1437,1
1438,1
1439,0
1440,0
1441,0
1442,1
1443,1
1444,0
1445,0
1446,0
1447,1
1448,0
1449,1
1450,1
1451,1
1452,0
1453,1
1454,1
1455,0
1456,1
1457,0
1458,0
1459,0
1460,1
1461,1
1462,0
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,0
1471,0
1472,1
1473,0
1474,1
1475,1
1476,0
1477,1
1478,0
1479,0
1480,1
1481,0
1482,0
1483,0
1484,1
1485,1
1486,1
1487,1
1488,1
1489,0
1490,0
1491,1
1492,0
1493,0
1494,0
1495,1
1496,1
1497,1
1498,1
1499,0
1500,0
1501,1
1502,0
1503,0
1504,1
1505,1
1506,0
1507,0
1508,0
1509,1
1510,1
1511,1
1512,0
1513,1
1514,1
1515,1
1516,0
1517,1
1518,0
1519,0
1520,0
1521,0
1522,1
1523,0
1524,0
1525,1
1526,1
1527,1
1528,0
1529,0
1530,0
1531,0
1532,1
1533,0
1534,0
1535,0
1536,0
1537,0
1538,1
1539,0
1540,0
1541,1
1542,0
1543,1
1544,1
1545,0
1546,1
1547,0
1548,1
1549,0
1550,1
1551,1
1552,0
1553,1
1554,1
1555,0
1556,0
1557,1
1558,0
1559,0
1560,1
1561,0
1562,1
1563,0
1564,0
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,0
1573,0
1574,1
1575,1
1576,0
1577,1
1578,0
1579,1
1580,1
1581,0
1582,0
1583,0
1584,1
1585,1
1586,1
1587,1
1588,1
1589,1
1590,0
1591,1
1592,0
1593,1
1594,0
1595,0
1596,1
1597,0
1598,0
1599,1
1600,0
1601,0
1602,1
1603,0
1604,1
1605,0
1606,1
1607,0
1608,1
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,1
1616,1
1617,0
1618,0
1619,1
1620,0
1621,0
1622,0
1623,0
1624,1
1625,0
1626,1
1627,0
1628,0
1629,0
1630,0
1631,1
1632,0
1633,1
1634,0
1635,0
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,1
1643,0
1644,1
1645,0
1646,1
1647,1
1648,0
1649,0
1650,0
1651,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,1
1664,0
1665,0
1666,1
1667,0
1668,1
1669,1
1670,0
1671,0
1672,0
1673,0
1674,1
1675,1
1676,0
1677,1
1678,1
1679,0
1680,1
1681,0
1682,0
1683,1
1684,1
1685,0
1686,1
1687,0
1688,0
1689,1
1690,0
1691,1
1692,0
1693,0
1694,1
1695,0
1696,0
1697,1
1698,0
1699,0
1700,1
1701,0
1702,1
1703,1
1704,0
1705,1
1706,0
1707,0
1708,0
1709,0
1710,1
1711,1
1712,1
1713,1
1714,1
1715,0
1716,0
1717,0
1718,1
1719,0
1720,1
1721,0
1722,0
1723,1
1724,1
1725,0
1726,0
1727,1
1728,1
1729,1
1730,1
1731,1
1732,0
1733,1
1734,1
1735,0
1736,1
1737,1
1738,0
1739,1
1740,0
1741,0
1742,0
1743,1
1744,1
1745,1
1746,1
1747,1
1748,0
1749,0
1750,0
1751,0
1752,0
1753,1
1754,0
1755,1
1756,0
1757,1
1758,0
1759,1
1760,0
1761,0
1762,1
1763,1
1764,1
1765,1
1766,1
1767,0
1768,1
1769,1
1770,1
1771,0
1772,1
1773,0
1774,0
1775,1
1776,0
1777,0
1778,1
1779,1
1780,0
1781,0
1782,1
1783,0
1784,0
1785,0
1786,0
1787,1
1788,1
1789,1
1790,0
1791,0
1792,0
1793,0
1794,0
1795,1
1796,0
1797,1
1798,0
1799,0
1800,1
1801,1
1802,1
1803,1
1804,0
1805,1
1806,1
1807,0
1808,1
1809,0
1810,1
1811,0
1812,1
1813,0
1814,0
1815,0
1816,1
1817,1
1818,0
1819,0
1820,1
1821,1
1822,0
1823,0
1824,0
1825,0
1826,0
1827,1
1828,0
1829,0
1830,0
1831,1
1832,0
1833,0
1834,0
1835,0
1836,1
1837,0
1838,1
1839,1
1840,1
1841,0
1842,1
1843,0
1844,1
1845,0
1846,0
1847,0
1848,1
1849,1
1850,0
1851,0
1852,0
1853,0
1854,1
1855,0
1856,0
1857,0
1858,0
1859,1
1860,1
1861,1
1862,1
1863,1
1864,0
1865,1
1866,0
1867,1
1868,1
1869,0
1870,0
1871,1
1872,1
1873,1
1874,1
1875,0
1876,0
1877,0
1878,1
1879,1
1880,0
1881,1
1882,1
1883,0
1884,1
1885,1
1886,0
1887,1
1888,0
1889,1
1890,1
1891,1
1892,1
1893,0
1894,0
1895,1
1896,1
1897,1
1898,1
1899,0
1900,0
1901,0
1902,1
1903,1
1904,1
1905,1
1906,1
1907,0
1908,0
1909,1
1910,0
1911,0
1912,1
1913,1
1914,0
1915,1
1916,0
1917,1
1918,0
1919,1
1920,1
1921,0
1922,0
1923,1
1924,0
1925,1
1926,1
1927,0
1928,0
1929,0
1930,1
1931,1
1932,0
1933,0
1934,0
1935,0
1936,1
1937,0
1938,0
1939,0
1940,0
1941,1
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,1
1949,0
1950,1
1951,0
1952,0
1953,0
1954,0
1955,1
1956,0
1957,0
1958,1
1959,0
1960,1
1961,0
1962,0
1963,1
1964,0
1965,1
1966,1
1967,0
1968,1
1969,1
1970,0
1971,1
1972,0
1973,0
1974,1
1975,1
1976,1
1977,0
1978,0
1979,1
1980,0
1981,0
1982,0
1983,0
1984,1
1985,1
1986,0
1987,1
1988,0
1989,1
1990,1
1991,1
1992,0
1993,0
1994,0
1995,1
1996,0
1997,1
1998,0
1999,0
2000,1
2001,1
2002,0
2003,1
2004,1
2005,0
2006,1
2007,0
2008,1
2009,1
2010,0
2011,1
2012,0
2013,0
2014,0
2015,1
2016,1
2017,1
2018,0
2019,0
2020,1
2021,1
2022,0
2023,0
2024,1
2025,0
2026,1
2027,0
2028,0
2029,0
2030,1
2031,1
2032,1
2033,1
2034,0
2035,0
2036,1
2037,1
2038,1
2039,1
2040,0
2041,1
2042,0
2043,1
2044,1
2045,1
2046,1
2047,1
2048,1
2049,0
2050,1
2051,1
2052,0
2053,1
2054,0
2055,0
2056,1
2057,1
2058,0
2059,1
2060,0
2061,1
2062,0
2063,1
2064,0
2065,1
2066,0
2067,1
2068,0
2069,0
2070,0
2071,0
2072,1
2073,1
2074,1
2075,1
2076,1
2077,1
2078,1
2079,0
2080,0
2081,0
2082,1
2083,0
2084,1
2085,1
2086,1
2087,0
2088,1
2089,0
2090,0
2091,0
2092,0
2093,1
2094,0
2095,0
2096,0
2097,0
2098,0
2099,1
2100,0
2101,0
2102,0
2103,1
2104,1
2105,1
2106,0
2107,0
2108,1
2109,0
2110,1
2111,1
2112,0
2113,0
2114,1
2115,0
2116,0
2117,1
2118,1
2119,1
2120,0
2121,0
2122,0
2123,1
2124,1
2125,0
2126,1
2127,0
2128,0
2129,0
2130,1
2131,1
2132,0
2133,1
2134,0
2135,1
2136,0
2137,0
2138,0
2139,1
2140,1
2141,0
2142,0
2143,1
2144,1
2145,0
2146,1
2147,1
2148,0
2149,0
2150,1
2151,0
2152,1
2153,1
2154,1
2155,0
2156,1
2157,0
2158,1
2159,1
2160,1
2161,0
2162,0
2163,1
2164,1
2165,0
2166,0
2167,0
2168,1
2169,0
2170,1
2171,0
2172,0
2173,0
2174,1
2175,1
2176,0
2177,0
2178,0
2179,0
2180,0
2181,1
2182,0
2183,1
2184,1
2185,0
2186,1
2187,0
2188,1
2189,1
2190,1
2191,1
2192,0
2193,1
2194,0
2195,0
2196,0
2197,1
2198,0
2199,1
2200,0
2201,1
2202,0
2203,0
2204,1
2205,0
2206,1
2207,0
2208,1
2209,1
2210,1
2211,0
2212,0
2213,1
2214,0
2215,0
2216,0
2217,0
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,0
2225,1
2226,1
2227,1
2228,1
2229,0
2230,0
2231,0
2232,1
2233,0
2234,1
2235,0
2236,0
2237,1
2238,0
2239,0
2240,1
2241,0
2242,0
2243,1
2244,1
2245,1
2246,0
2247,1
2248,1
2249,1
2250,1
2251,0
2252,1
2253,1
2254,0
2255,0
2256,1
2257,1
2258,0
2259,1
2260,1
2261,1
2262,0
2263,1
2264,0
2265,0
2266,1
2267,1
2268,0
2269,0
2270,1
2271,0
2272,0
2273,1
2274,1
2275,1
2276,1
2277,1
2278,1
2279,0
2280,1
2281,1
2282,0
2283,1
2284,0
2285,0
2286,0
2287,1
2288,0
2289,0
2290,0
2291,1
2292,0
2293,1
2294,0
2295,0
2296,0
2297,0
2298,0
2299,1
2300,0
2301,0
2302,0
2303,0
2304,1
2305,1
2306,0
2307,0
2308,0
2309,0
2310,0
2311,1
2312,1
2313,1
2314,1
2315,0
2316,1
2317,0
2318,0
2319,1
2320,0
2321,1
2322,1
2323,0
2324,0
2325,1
2326,1
2327,1
2328,1
2329,1
2330,0
2331,1
2332,0
2333,1
2334,1
2335,0
2336,1
2337,1
2338,0
2339,1
2340,1
2341,0
2342,0
2343,0
2344,0
2345,1
2346,0
2347,1
2348,1
2349,1
2350,1
2351,0
2352,0
2353,0
2354,1
2355,1
2356,0
2357,1
2358,1
2359,1
2360,0
2361,0
2362,1
2363,1
2364,1
2365,1
2366,1
2367,0
2368,1
2369,0
2370,0
2371,0
2372,1
2373,1
2374,0
2375,1
2376,1
2377,1
2378,0
2379,1
2380,0
2381,1
2382,1
2383,1
2384,0
2385,1
2386,0
2387,0
2388,0
2389,1
2390,0
2391,1
2392,0
2393,1
2394,0
2395,1
2396,0
2397,1
2398,1
2399,0
2400,0
2401,1
2402,0
2403,0
2404,0
2405,1
2406,0
2407,0
2408,1
2409,0
2410,1
2411,0
2412,1
2413,1
2414,1
2415,0
2416,1
2417,1
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,1
2427,1
2428,1
2429,1
2430,1
2431,1
2432,1
2433,1
2434,0
2435,1
2436,0
2437,0
2438,0
2439,0
2440,0
2441,1
2442,0
2443,1
2444,1
2445,1
2446,0
2447,0
2448,0
2449,1
2450,0
2451,0
2452,1
2453,0
2454,1
2455,1
2456,0
2457,0
2458,0
2459,0
2460,1
2461,0
2462,0
2463,1
2464,0
2465,0
2466,0
2467,1
2468,0
2469,0
2470,1
2471,0
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,0
2479,1
2480,1
2481,1
2482,1
2483,0
2484,0
2485,1
2486,0
2487,1
2488,1
2489,1
2490,0
2491,0
2492,1
2493,0
2494,0
2495,0
2496,0
2497,0
2498,1
2499,0
2500,1
2501,0
2502,1
2503,0
2504,1
2505,1
2506,0
2507,0
2508,0
2509,1
2510,1
2511,0
2512,0
2513,1
2514,0
2515,1
2516,0
2517,1
2518,1
2519,0
2520,0
2521,0
2522,1
2523,1
2524,0
2525,1
2526,0
2527,0
2528,1
2529,1
2530,1
2531,0
2532,1
2533,0
2534,0
2535,1
2536,1
2537,1
2538,0
2539,1
2540,1
2541,0
2542,0
2543,0
2544,1
2545,1
2546,1
2547,1
2548,1
2549,0
2550,1
2551,0
2552,1
2553,1
2554,1
2555,0
2556,0
2557,0
2558,1
2559,0
2560,0
2561,1
2562,1
2563,1
2564,0
2565,1
2566,1
2567,0
2568,1
2569,1
2570,0
2571,1
2572,1
2573,0
2574,1
2575,1
2576,1
2577,0
2578,0
2579,0
2580,1
2581,1
2582,1
2583,0
2584,1
2585,0
2586,0
2587,1
2588,0
2589,0
2590,1
2591,0
2592,0
2593,0
2594,1
2595,0
2596,1
2597,0
2598,0
2599,0
2600,1
2601,0
2602,0
2603,0
2604,0
2605,0
2606,1
2607,0
2608,1
2609,0
2610,0
2611,1
2612,0
2613,1
2614,1
2615,0
2616,0
2617,0
2618,1
2619,1
2620,1
2621,1
2622,0
2623,1
2624,0
2625,1
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,0
2633,1
2634,0
2635,1
2636,1
2637,0
2638,0
2639,1
2640,1
2641,0
2642,1
2643,1
2644,1
2645,0
2646,1
2647,1
2648,1
2649,0
2650,1
2651,1
2652,0
2653,0
2654,0
2655,0
2656,1
2657,0
2658,1
2659,1
2660,0
2661,0
2662,1
2663,0
2664,1
2665,1
2666,0
2667,1
2668,1
2669,0
2670,1
2671,1
2672,1
2673,0
2674,0
2675,0
2676,0
2677,1
2678,0
2679,0
2680,0
2681,0
2682,1
2683,0
2684,0
2685,1
2686,0
2687,0
2688,1
2689,1
2690,1
2691,1
2692,0
2693,0
2694,1
2695,1
2696,1
2697,0
2698,0
2699,1
2700,1
2701,0
2702,1
2703,1
2704,1
2705,0
2706,1
2707,0
2708,1
2709,0
2710,0
2711,1
2712,0
2713,1
2714,0
2715,0
2716,1
2717,0
2718,1
2719,0
2720,1
2721,1
2722,1
2723,1
2724,0
2725,1
2726,0
2727,0
2728,0
2729,0
2730,0
2731,0
2732,0
2733,0
2734,1
2735,1
2736,1
2737,0
2738,0
2739,0
2740,1
2741,0
2742,0
2743,1
2744,0
2745,0
2746,0
2747,0
2748,1
2749,0
2750,1
2751,0
2752,1
2753,1
2754,1
2755,1
2756,1
2757,0
2758,0
2759,0
2760,0
2761,0
2762,0
2763,1
2764,0
2765,0
2766,0
2767,0
2768,0
2769,0
2770,1
2771,1
2772,0
2773,0
2774,0
2775,0
2776,0
2777,0
2778,1
2779,0
2780,1
2781,0
2782,1
2783,1
2784,0
2785,1
2786,0
2787,1
2788,0
2789,1
2790,0
2791,0
2792,0
2793,0
2794,0
2795,0
2796,0
2797,0
2798,1
2799,0
2800,0
2801,1
2802,1
2803,1
2804,0
2805,0
2806,1
2807,1
2808,1
2809,0
2810,0
2811,0
2812,1
2813,0
2814,0
2815,1
2816,0
2817,0
2818,0
2819,1
2820,1
2821,1
2822,0
2823,0
2824,1
2825,0
2826,1
2827,1
2828,0
2829,1
2830,0
2831,0
2832,1
2833,1
2834,1
2835,0
2836,0
2837,1
2838,1
2839,1
2840,0
2841,1
2842,1
2843,1
2844,0
2845,1
2846,0
2847,0
2848,0
2849,1
2850,1
2851,0
2852,0
2853,0
2854,0
2855,0
2856,0
2857,1
2858,0
2859,1
2860,1
2861,0
2862,1
2863,1
2864,0
2865,0
2866,1
2867,0
2868,0
2869,1
2870,1
2871,0
2872,1
2873,1
2874,0
2875,1
2876,0
2877,1
2878,0
2879,0
2880,1
2881,1
2882,1
2883,1
2884,1
2885,0
2886,0
2887,1
2888,1
2889,1
2890,0
2891,0
2892,0
2893,1
2894,1
2895,1
2896,1
2897,0
2898,0
2899,0
2900,1
2901,0
2902,0
2903,1
2904,1
2905,0
2906,1
2907,1
2908,0
2909,1
2910,1
2911,0
2912,1
2913,0
2914,1
2915,1
2916,1
2917,0
2918,1
2919,1
2920,1
2921,1
2922,1
2923,1
2924,0
2925,0
2926,0
2927,0
2928,1
2929,1
2930,0
2931,0
2932,1
2933,0
2934,0
2935,1
2936,1
2937,0
2938,1
2939,0
2940,0
2941,0
2942,0
2943,0
2944,0
2945,0
2946,0
2947,0
2948,1
2949,1
2950,0
2951,0
2952,0
2953,1
2954,1
2955,1
2956,0
2957,1
2958,1
2959,1
2960,1
2961,0
2962,0
2963,1
2964,1
2965,0
2966,1
2967,1
2968,1
2969,1
2970,0
2971,0
2972,1
2973,1
2974,0
2975,1
2976,1
2977,0
2978,1
2979,1
2980,0
2981,0
2982,0
2983,1
2984,1
2985,0
2986,0
2987,0
2988,0
2989,0
2990,1
2991,0
2992,0
2993,0
2994,0
2995,1
2996,1
2997,0
